GetContentResponse,GetContentResponse,10191,209884.4224315573
GetContentResponse,MakeResponse,599,3708817.959933222
GetContentResponse,MoveResponse,20,1144888.65
GetContentResponse,PutContentResponse,619,1055662.827140549
GetContentResponse,Unlink,389,667555.9434447301
MakeResponse,GetContentResponse,213,38898.76056338028
MakeResponse,MakeResponse,20450287,3784.537703309494
MakeResponse,MoveResponse,194024,11257.76694120315
MakeResponse,PutContentResponse,4458844,5683.313455460653
MakeResponse,Unlink,1113662,13022.39264336935
MoveResponse,GetContentResponse,52,2393932.442307692
MoveResponse,MakeResponse,87195,655372.1287115087
MoveResponse,MoveResponse,262237,16764.13220483761
MoveResponse,PutContentResponse,158198,105734.0609615798
MoveResponse,Unlink,64966,71302.13345442231
PutContentResponse,GetContentResponse,687,2376887.639010189
PutContentResponse,MakeResponse,4268054,236333.8554894104
PutContentResponse,MoveResponse,57713,387852.9672864
PutContentResponse,PutContentResponse,13514553,41861.29261670734
PutContentResponse,Unlink,210357,633528.8598620441
Unlink,GetContentResponse,321,195159.3551401869
Unlink,MakeResponse,1196260,193477.7110653202
Unlink,MoveResponse,64802,52514.38075985309
Unlink,PutContentResponse,118612,184877.0738036624
Unlink,Unlink,7371176,3838.398464369865
