MakeResponse,Unlink,7442,3205800.688658962
Unlink,GetContentResponse,7990,66482261.1971214
PutContentResponse,PutContentResponse,19084,6571885.905837351
GetContentResponse,MakeResponse,8485,79076597.41355333
MakeResponse,MakeResponse,120071,591669.1745633833
MoveResponse,PutContentResponse,1749,3763243.74156661
GetContentResponse,PutContentResponse,4061,41353238.56340802
PutContentResponse,MoveResponse,514,14916923.82879377
PutContentResponse,GetContentResponse,6980,74219742.05014327
Unlink,MakeResponse,7627,20373711.92683886
MoveResponse,MoveResponse,21466,179814.6706885307
MoveResponse,MakeResponse,1559,16671842.68441308
PutContentResponse,MakeResponse,5518,43745487.10275462
Unlink,PutContentResponse,1280,18704812.07890625
MoveResponse,Unlink,1009,3179622.806739346
PutContentResponse,Unlink,1881,27971304.88835726
GetContentResponse,MoveResponse,591,45943575.14213198
MakeResponse,MoveResponse,2696,866360.4632789318
GetContentResponse,Unlink,9060,43711825.92174393
Unlink,Unlink,1494243,47324.82107930236
GetContentResponse,GetContentResponse,14665900,741141.6182897061
MoveResponse,GetContentResponse,610,81118796.81147541
MakeResponse,PutContentResponse,8560,472509.8176401869
Unlink,MoveResponse,1260,4932693.143650793
MakeResponse,GetContentResponse,5255,11337348.1432921
