MakeResponse,MakeResponse,20460658,64262.09664801591
PutContentResponse,GetContentResponse,1910,80870538.67853403
MoveResponse,GetContentResponse,53,47744569.58490566
PutContentResponse,PutContentResponse,13561485,885218.1649419662
MakeResponse,PutContentResponse,4457774,68521.5359966656
GetContentResponse,Unlink,484,27338671.78099174
Unlink,MoveResponse,65383,1000592.81339186
PutContentResponse,MakeResponse,4397830,6650774.74824493
MakeResponse,GetContentResponse,326,5314642.487730062
MakeResponse,Unlink,1118236,595340.4803985921
GetContentResponse,MakeResponse,1289,129142335.352211
GetContentResponse,GetContentResponse,9977,2764274.938759146
Unlink,MakeResponse,1226018,4958118.446210414
MoveResponse,Unlink,66224,3150714.483178304
Unlink,Unlink,7375914,100672.8319656384
MoveResponse,PutContentResponse,158793,1489732.89153804
PutContentResponse,Unlink,232549,17575839.62897282
MakeResponse,MoveResponse,193967,336826.1930070579
PutContentResponse,MoveResponse,61330,10510193.6722648
Unlink,GetContentResponse,448,70578895.36830357
MoveResponse,MakeResponse,94327,15856270.25340571
Unlink,PutContentResponse,121613,4881708.841768561
GetContentResponse,MoveResponse,51,30994592.41176471
GetContentResponse,PutContentResponse,1079,32925035.081557
MoveResponse,MoveResponse,263516,277530.5155929811
