Unlink,GetContentResponse,45,205130837.0444444
Unlink,PutContentResponse,347,44290626.88760807
MoveResponse,PutContentResponse,645,6159112.159689923
MakeResponse,Unlink,3032,17201151.7542876
MakeResponse,PutContentResponse,6171,3694831.623561821
MoveResponse,Unlink,298,4849672.835570469
MakeResponse,MakeResponse,57403,2535594.310088323
PutContentResponse,MoveResponse,546,19669854.63553113
GetContentResponse,Unlink,170,119805531.9764706
PutContentResponse,GetContentResponse,735,106767801.2367347
MoveResponse,MakeResponse,547,41990609.16453382
MoveResponse,GetContentResponse,24,242785204.6666667
GetContentResponse,MakeResponse,162,257789934.845679
GetContentResponse,MoveResponse,24,6937986.208333333
MoveResponse,MoveResponse,1277,1807973.801096319
MakeResponse,GetContentResponse,32,86265697.5
PutContentResponse,Unlink,1682,55413426.23900119
GetContentResponse,GetContentResponse,12771,13311004.49941273
Unlink,MakeResponse,3897,58547648.31408776
MakeResponse,MoveResponse,772,4591367.015544041
PutContentResponse,PutContentResponse,5161,45534348.9128076
GetContentResponse,PutContentResponse,217,121923648.2580645
Unlink,MoveResponse,279,12916738.390681
PutContentResponse,MakeResponse,1967,131453115.621759
Unlink,Unlink,100197,280710.9431320299
