MakeResponse,MakeResponse,14184635,24924.15250261991
PutContentResponse,GetContentResponse,707149,12752732.91189975
MoveResponse,GetContentResponse,8248,47915350.43477207
PutContentResponse,PutContentResponse,9399015,509818.8178651699
PutContentResponse,MakeResponse,3047858,3212688.060684585
MakeResponse,GetContentResponse,290639,455042.4929276525
MakeResponse,PutContentResponse,3151971,24137.52639411974
GetContentResponse,Unlink,67341,25177626.53316702
Unlink,MoveResponse,77631,535049.1654622509
MakeResponse,Unlink,885845,159918.514482782
GetContentResponse,MakeResponse,422945,29458346.54497393
GetContentResponse,GetContentResponse,24857317,367878.7082659001
Unlink,MakeResponse,931332,3747677.209964868
MoveResponse,PutContentResponse,133028,1013801.064866043
MoveResponse,Unlink,86294,940056.9339815051
PutContentResponse,Unlink,148995,10459481.05796168
PutContentResponse,MoveResponse,47020,5389007.187473415
Unlink,GetContentResponse,51360,30898269.60231698
MakeResponse,MoveResponse,173902,48240.42891973641
Unlink,Unlink,7743380,63117.27852901446
MoveResponse,MakeResponse,80651,8273426.265253996
Unlink,PutContentResponse,125858,3748163.194830682
GetContentResponse,MoveResponse,10163,27148489.78382367
GetContentResponse,PutContentResponse,552447,7074777.689731322
MoveResponse,MoveResponse,267914,112559.8507730093
